source,keyword,title,price,sales_30d,reviews,competitors,estimated_cost,brand_fit,printability,ip_risk,url
Shopee,Jesus decoracao,Jesus minimalista de parede 24cm,69.90,210,84,18,22.00,9,9,2,https://example.com/shopee-jesus
Mercado Livre,Nossa Senhora decoracao,Nossa Senhora minimalista decorativa,79.90,165,55,15,24.00,9,8,2,https://example.com/ml-ns
Elo7,casal personalizado,Casal personalizado com nome e data,89.90,95,32,9,26.00,9,7,3,https://example.com/elo7-casal
Etsy,decoracao minimalista,Abstract face sculpture minimalist,34.00,320,110,38,18.00,8,9,2,https://example.com/etsy-face
Amazon,organizador de mesa,Organizador de mesa modular premium,59.90,450,190,72,19.00,6,8,1,https://example.com/amazon-org
Pinterest,vaso minimalista,Vaso organico minimalista decorativo,74.90,0,0,12,21.00,8,8,1,https://example.com/pinterest-vaso
MakerWorld,miniatura monumento,Miniatura monumento arquitetura moderna,49.90,0,0,20,16.00,7,9,4,https://example.com/makerworld-monumento
Printables,suporte celular minimalista,Suporte celular geometrico minimalista,39.90,0,0,44,10.00,6,9,1,https://example.com/printables-suporte
TikTok,presente personalizado,Presente 3D personalizado viral casal,99.90,0,0,8,28.00,9,7,3,https://example.com/tiktok-presente
Shopee,luminaria religiosa,Luminaria Cristo minimalista LED,119.90,80,28,11,42.00,9,6,2,https://example.com/shopee-luminaria
Mercado Livre,escultura decorativa,Escultura passaro abstrato decorativo,84.90,135,47,22,25.00,8,8,1,https://example.com/ml-passaro
Etsy,cruz moderna parede,Modern wall cross minimal,29.00,260,75,31,14.00,8,9,2,https://example.com/etsy-cross
